"","EVTYPE"
"1","STORM SURGE"
"2","HURRICANE"
"3","RIVER FLOOD"
"4","TSTM WIND"
"5","HURRICANE OPAL"
"6","WILD/FOREST FIRE"
"7","HEAVY RAIN/SEVERE WEATHER"
"8","THUNDERSTORM WINDS"
"9","TORNADOES, TSTM WIND, HAIL"
"10","SEVERE THUNDERSTORM"
"11","BLIZZARD"
"12","WILD FIRES"
"13","HIGH WINDS"
"14","LANDSLIDE"
"15","FLASH FLOODING"
"16","FLASH FLOOD/FLOOD"
"17","HURRICANE ERIN"
"18","HAILSTORM"
"19","FLOOD/FLASH FLOOD"
"20","COASTAL FLOODING"
"21","RIVER FLOODING"
"22","HIGH WINDS/COLD"
"23","FLOODING"
"24","MAJOR FLOOD"
"25","WILDFIRES"
"26","HURRICANE OPAL/HIGH WINDS"
"27","EXTREME COLD"
"28","TSUNAMI"
"29","WINTER STORM HIGH WINDS"
"30","URBAN/SML STREAM FLD"
"31","RECORD COLD"
"32","WATERSPOUT/TORNADO"
"33","HURRICANE EMILY"
"34","TSTM WIND/HAIL"
"35","COASTAL FLOODING/EROSION"
"36","URBAN FLOOD"
"37","EROSION/CSTL FLOOD"
"38","COASTAL  FLOODING/EROSION"
"39","SNOW"
"40","HEAVY RAIN/HIGH SURF"
"41","FOG"
"42","ICE"
"43","HEAVY RAINS"
"44","HEAT WAVE"
"45","FLOOD & HEAVY RAIN"
"46","ASTRONOMICAL HIGH TIDE"
"47","WIND"
"48","FREEZING RAIN"
"49"," TSTM WIND"
"50","DAMAGING FREEZE"
"51","FLASH FLOODS"
"52","HIGH WINDS HEAVY RAINS"
"53","DRY MICROBURST"
"54","WINTER WEATHER/MIX"
"55","HEAVY SURF/HIGH SURF"
"56","FLOODS"
"57","URBAN FLOODING"
"58","ICE JAM FLOODING"
"59","RAIN"
"60","SNOWMELT FLOODING"
"61","HEAVY RAIN/LIGHTNING"
"62","HEAVY SNOWPACK"
"63","TROPICAL STORM ALBERTO"
"64","HIGH WINDS/COASTAL FLOOD"
"65","LIGHTNING FIRE"
"66","HEAVY SNOW/FREEZING RAIN"
"67","FOREST FIRES"
"68","ICE AND SNOW"
"69","HEAVY SNOW/BLIZZARD/AVALANCHE"
"70","HEAVY RAINS/FLOODING"
"71","TROPICAL STORM JERRY"
"72","ICE/STRONG WINDS"
"73","LIGHT SNOW"
"74","STRONG WINDS"
"75","TORNADO F1"
"76","SEVERE THUNDERSTORMS"
"77","EXCESSIVE SNOW"
"78","THUNDERSTORM WINDSS"
"79","FLASH FLOODING/FLOOD"
"80","HEAVY SNOW AND STRONG WINDS"
"81","TORNADO F2"
"82","HEAVY SNOW/HIGH WINDS & FLOOD"
"83","HEAVY SURF"
"84","SNOW/SLEET"
"85","SNOW FREEZING RAIN"
"86","HEAVY MIX"
"87","MUDSLIDE"
"88","GUSTY WINDS"
"89","SNOW/FREEZING RAIN"
"90","RIVER AND STREAM FLOOD"
"91","HIGH WIND DAMAGE"
"92","DAM BREAK"
"93","FLOOD/FLASH"
"94","WIND AND WAVE"
"95","SNOW/COLD"
"96","RECORD SNOW"
"97","GLAZE"
"98","THUNDERSTORM"
"99","MIXED PRECIPITATION"
"100","COASTAL EROSION"
"101","EXTREME WINDCHILL"
"102","SNOW SQUALLS"
"103","TORNADO F3"
"104","HEAVY SNOW SQUALLS"
"105","THUNDERSTORM WINDS HAIL"
"106","SNOW SQUALL"
"107","HEAVY SNOW/ICE"
"108","WINDS"
"109","THUNDERTORM WINDS"
"110","MUD SLIDE"
"111","HEAVY RAIN AND FLOOD"
"112","LANDSLUMP"
"113","COLD"
"114","HIGH WATER"
"115","FLASH FLOODING/THUNDERSTORM WI"
"116","HIGH WIND/SEAS"
"117","WINTER STORMS"
"118","FLASH FLOOD/"
"119","TROPICAL STORM GORDON"
"120","HEAVY RAIN/SNOW"
"121","SLEET/ICE STORM"
"122","SNOW/HEAVY SNOW"
"123","HAIL/WINDS"
"124","SNOW AND ICE STORM"
"125","HEAVY LAKE SNOW"
"126","FLOOD/RIVER FLOOD"
"127","HEAVY SNOW/WINTER STORM"
"128","BLIZZARD/WINTER STORM"
"129","FROST\FREEZE"
"130","COASTAL SURGE"
"131","HURRICANE GORDON"
"132","HURRICANE FELIX"
"133","HEAVY PRECIPITATION"
"134","LIGHT FREEZING RAIN"
"135","MICROBURST WINDS"
"136","TROPICAL STORM DEAN"
"137","THUNDERSTORM WINDS/HAIL"
"138","GUSTY WIND"
"139","ICY ROADS"
"140","GLAZE ICE"
"141","WIND STORM"
"142","FLASH FLOOD FROM ICE JAMS"
"143","HAIL 275"
"144","TSTM WIND (G45)"
"145","WATERSPOUT-"
"146","FREEZE"
"147","STORM FORCE WINDS"
"148","HEAT WAVE DROUGHT"
"149","HAIL 450"
"150","THUNDERSTORM WINDS LIGHTNING"
"151","LATE SEASON SNOW"
"152","SEVERE THUNDERSTORM WINDS"
"153","HAIL DAMAGE"
"154","ROCK SLIDE"
"155","HIGH WINDS/SNOW"
"156","FREEZING DRIZZLE"
"157","THUNDERSTORMW"
"158","HAIL 175"
"159","EXTREME HEAT"
"160","GUSTNADO"
"161","TSTM WIND G58"
"162","BEACH EROSION"
"163","EXTENDED COLD"
"164","RIP CURRENTS"
"165","SNOW AND HEAVY SNOW"
"166","GROUND BLIZZARD"
"167","ICE FLOES"
"168","SNOW/ICE STORM"
"169","HEAVY SNOW/SQUALLS"
"170","SNOW/SLEET/FREEZING RAIN"
"171","SNOW/HIGH WINDS"
"172","HEAVY SNOW-SQUALLS"
"173","WIND DAMAGE"
"174","LIGHT SNOWFALL"
"175","TSTM WIND AND LIGHTNING"
"176","MICROBURST"
"177","TORNADO F0"
"178","TUNDERSTORM WIND"
"179","HURRICANE-GENERATED SWELLS"
"180","FREEZING RAIN/SNOW"
"181","THUNDERSTORM WIND 60 MPH"
"182","SMALL HAIL"
"183","LAKE EFFECT SNOW"
"184","WINTER WEATHER MIX"
"185","TSTM WINDS"
"186","OTHER"
"187","SEVERE TURBULENCE"
"188","HEAVY SNOW/WIND"
"189","HEAVY SURF COASTAL FLOODING"
"190","MUDSLIDES"
"191","RAINSTORM"
"192","THUNDERSTORM WINDS53"
"193","THUNDERSTORM WINDS 13"
"194","HIGH WINDS/"
"195","THUNDERSNOW"
"196","MUD SLIDES"
"197","EXTREME WIND CHILL"
"198","FREEZING RAIN/SLEET"
"199","DUST STORM/HIGH WINDS"
"200","HEAVY SNOW/BLIZZARD"
"201","THUDERSTORM WINDS"
"202","HIGH WIND/HEAVY SNOW"
"203","HIGH WIND/BLIZZARD"
"204","SNOW/ BITTER COLD"
"205","SNOW/BLOWING SNOW"
"206","TSTMW"
"207","HIGH WIND AND SEAS"
"208","LANDSLIDES"
"209","MARINE ACCIDENT"
"210","COASTAL STORM"
"211"," FLASH FLOOD"
"212","URBAN/SMALL STREAM FLOOD"
"213","TSTM WIND (G40)"
"214","WATERSPOUT TORNADO"
"215","THUNDERSTORM WINDSHAIL"
"216","NON-TSTM WIND"
"217","GRADIENT WIND"
"218","WET MICROBURST"
"219","LAKE FLOOD"
"220","LIGHTNING  WAUSEON"
"221","SNOW/ICE"
"222","TSTM WIND (G35)"
"223","TSTM WIND 55"
"224","LIGHTNING AND HEAVY RAIN"
"225","THUNDERSTORM WIND 98 MPH"
"226","THUNDERSTORM WINDS 63 MPH"
"227","THUNDERSTORM  WINDS"
"228","TSTM WIND 65)"
"229","WILD/FOREST FIRES"
"230","GUSTY WIND/HAIL"
"231","BLOWING DUST"
"232","THUNDERSTORM WIND/ TREES"
"233","THUNDERSTORM WINDS/ FLOOD"
"234","HIGH WIND (G40)"
"235","THUNDERSTORMS WIND"
"236","WATERSPOUT-TORNADO"
"237","BLOWING SNOW"
"238","FROST"
"239","TIDAL FLOODING"
"240","THUNDERSTORMS WINDS"
"241","WINTRY MIX"
"242","ICE ROADS"
"243","FLASH FLOOD - HEAVY RAIN"
"244","WHIRLWIND"
"245","LIGHTNING THUNDERSTORM WINDS"
"246","GRASS FIRES"
"247","HIGH WIND 48"
"248","ROUGH SURF"
"249","HEAVY SNOW SHOWER"
"250","TSTM WIND 45"
"251","FLOOD/FLASH/FLOOD"
"252","TSTM WIND (41)"
"253"," TSTM WIND (G45)"
"254","LANDSPOUT"
"255","LIGHTNING/HEAVY RAIN"
"256","HIGH WINDS/HEAVY RAIN"
"257","APACHE COUNTY"
"258","THUNDERSTORM WINDS/FUNNEL CLOU"
"259","THUNDERSTORMS"
"260","MINOR FLOODING"
"261","LIGNTNING"
"262","THUNDERSTORM WIND/LIGHTNING"
"263","MUD SLIDES URBAN FLOODING"
"264","ICE JAM"
"265","THUNDERSTORM WINDS."
"266","HAIL 100"
"267","THUNDERSTORM WIND G55"
"268","URBAN AND SMALL"
"269","THUNDERSTORM HAIL"
"270","LIGHTING"
"271","THUNDERSTORM WINDS AND"
